|about|category|category_list|company_overview|description|emails|engagement|fan_count|general_info|id|is_permanently_closed|link|mission|name|phone|single_line_address|username|website|founded|hours|location|verification_status|birthday|privacy_info_url
21|Rode kruis Rhenen zorgt voor lessen eerste hulp, eerste hulpverlening bij kleine en evenementen.  Meer info cursussen? opleidingen@rodekruisrhenen.nl|Medical Company|[{'id': '2243', 'name': 'Medical Company'}]|||['opleidingen@rodekruisrhenen.nl']|{'count': 279, 'social_sentence': '279 people like this.'}|279.0||1537051933271578|0.0|https://www.facebook.com/rhenenrodekruis/||Rode Kruis Rhenen||Kerkstraat 1, 3911 LD Rhenen|rhenenrodekruis|http://www.rodekruisrhenen.nl|||||06/21/1933|
23|Nieuwspagina van het Rode Kruis District Zaanstreek-Waterland|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '181679458534697', 'name': 'Safety & First Aid Service'}]|||['zaanstreekwaterland@redcross.nl']|{'count': 649, 'social_sentence': '649 people like this.'}|649.0||245353695653535|0.0|https://www.facebook.com/rodekruiszawa/||Rode Kruis Zaanstreek-Waterland|0299660399|Waterlandlaan 101, 1441 RT Purmerend|rodekruiszawa|http://www.rodekruis.nl/Zaanstreek-Waterland|1 mei 1915|{'mon_1_open': '09:00', 'mon_1_close': '17:00', 'tue_1_open': '09:00', 'tue_1_close': '14:00', 'wed_1_open': '09:00', 'wed_1_close': '17:00', 'thu_1_open': '09:00', 'thu_1_close': '17:00', 'fri_1_open': '09:00', 'fri_1_close': '12:00'}||||
25|Ben je student en heb je interesse in vrijwilligerswerk? Word actief bij Studentendesk Rode Kruis Groningen!|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '226326230802065', 'name': 'Charity Organization'}]|"Het huidige bestuur: 
Voorzitter: Puck Bijleveld
Secretaris: Iwana Bosman
Penningmeester: Femke Jongeneelen
Vrijwilligerscoördinator: Elise Prinsen
Projectcoördinator: Sjanna Bosma
PR: Lisanne Moraal"|"Zes studenten vormen het bestuur van de Rode Kruis Studentendesk Groningen. De Rode Kruis Studentendesk is er om studenten enthousiast te maken voor vrijwilligerswerk. Dit kan door plaats te nemen in één van onze commissies, mee te doen aan één van onze projecten of gewoon een dagje mee te helpen bij een activiteit. We hebben 8 commissies en meer dan 1100 vrijwilligers in onze database!

We organiseren uiteenlopende projecten. Zo lezen studenten voor aan visueel en meervoudig beperkte kinderen, worden studenten gekoppeld aan een eenzame oudere bij het project ‘Adopteer een Oma/Opa’ en krijgen kinderen hulp bij taalproblemen. 
Verder is de Studentendesk vele commissies rijk, zoals de Serious Request commissie, die zo veel mogelijk geld probeert op te halen voor 3FM Serious Request, de Sinterklaas Bestaat!-commissie, die elk jaar een groot sinterklaasfeest organiseert voor kinderen van de Voedselbank, en de Projectcommissie. 
Daarnaast organiseren we activiteiten zoals EHBO-cursussen, het Forward Voetbaltoernooi en Project GA! We werken samen met studenten van de Rijksuniversiteit Groningen, Hanzehogeschool Groningen en verschillende studenten- en studieverenigingen zoals Vindicat, FMF, Dizkartes, RKSV Albertus Magnus, Navigators en Gyas. Kortom: genoeg te doen!

Lijkt het jou leuk om ons hierbij te helpen? Of heb je zelf een goed idee voor een project? Stuur een mailtje naar studentendeskgroningen@rodekruis.nl of neem een kijkje op onze website www.rodekruis.nl/studentendesk-groningen/. "|['studentendeskgroningen@rodekruis.nl']|{'count': 2577, 'social_sentence': '2.5K people like this.'}|2577.0|"Met onze acht commissies, vele projecten en meer dan 1100 vrijwilligers betrekken wij Groningse studenten bij vrijwilligerswerk! 

Wil jij op de hoogte gehouden worden van toekomstige commissiesollicitaties en onze andere activiteiten? Stuur dan even een mailtje naar studentendeskgroningen@rodekruis.nl"|447176062025726|0.0|https://www.facebook.com/studentendeskrodekruis.groningen/|"Met onze tien commissies, vele projecten en meer dan 1000 vrijwilligers betrekken wij Groningse studenten bij vrijwilligerswerk bij het Rode Kruis! Deze activiteiten bedenken, organiseren, coördineren en voeren wij zelf uit. Als onderdeel van het Rode Kruis is het onze missie om de zelfredzaamheid van alle mensen te verhogen. Een voorbeeld hiervan zijn ook onze EHBO-cursussen, speciaal voor studenten.

Samen met jouw inzet en talenten kunnen wij unieke projecten uitvoeren en bedenken. Dus wil jij vrijwilligerswerk doen? Kom dan nu in actie! Mail naar studentendeskgroningen@rodekruis.nl en geef je op als vrijwilliger! "|Rode Kruis Studentendesk Groningen||Atoomweg 2b, 9743 AK Groningen|studentendeskrodekruis.groningen|www.studentendeskgroningen.nl|01-01-2006||||01/01/2006|
26|De Studentendesk organiseert het hele jaar door activiteiten voor kwetsbare groepen. Wil jij ons daarbij helpen? PM of mail studentendeskmaastricht@rodekruis.nl |Cause|[{'id': '2606', 'name': 'Cause'}]||"Het Rode Kruis ken je natuurlijk al lang, maar wist je ook dat er zelfstandige studentendesks onder vallen? De Studentendesk vormt de link tussen het Rode Kruis en studerend Nederland. Wij zetten ons in om studenten als vrijwilligers te betrekken bij activiteiten voor hulpvragers van het Rode Kruis. Deze activiteiten bedenken wij (de desk en vrijwilligers) zelf en zorgen ook voor de coördinatie en organisatie.

Wil jij vrijwilliger worden en meehelpen met één of meerdere van onze acties? Wil je up-to-date blijven van onze activiteiten? Mail dan naar studentendeskmaastricht@rodekruis.nl
"|['studentendeskmaastricht@rodekruis.nl']|{'count': 920, 'social_sentence': '920 people like this.'}|920.0||471047399577882|0.0|https://www.facebook.com/RodeKruisStudentendeskMaastricht/||Rode Kruis Studentendesk Maastricht||Cortenstraat 7, Maastricht|RodeKruisStudentendeskMaastricht|https://www.rodekruis.nl/studentendesk-maastricht/||||||
27|"Pagina van Rode Kruis afdeling Liemers-Oost.
Wij verzorgen evenementenhulpverlening, opleidingen en sociale hulp in de gemeenten Zevenaar en Montferland."|Community|[{'id': '2612', 'name': 'Community'}, {'id': '2603', 'name': 'Nonprofit Organization'}]||"Pagina van Rode Kruis afdeling Liemers-Oost.
Wij verzorgen evenementenhulpverlening, opleidingen en sociale hulp in de gemeenten Zevenaar en Montferland."|['liemersoost.hulpverlening@rodekruis.nl']|{'count': 88, 'social_sentence': '88 people like this.'}|88.0||783216308392947|0.0|https://www.facebook.com/RodeKruisLiemersOost/||Rode Kruis Liemers-Oost|+31622229801|Vincent van Goghstraat 4, 6901 DK Zevenaar (gemeente)|RodeKruisLiemersOost|http://www.rodekruis.nl/liemers-oost||||||
28|Wij zijn een enthousiaste groep eerste hulpverleners. Compleet zelfvoorzienend in opleidingen en materialen.|Interest|[{'id': '1500', 'name': 'Interest'}]||"Wij van het team Schagen werken onder de vlag van het Rode Kruis. Ons team bied op verschillende manieren zijn diensten aan. In eerste instantie leiden wij mensen op tot volwaardige eerste hulpverleners. Wij doen dit volgende de lesmethode van het Rode Kruis. Vervolgens verzorgen wij de herhalingslessen om de diploma's van onze vrijwilligers geldig te houden. Daarnaast hebben onze vrijwilligers de keuze om werkzaamheden te verrichten op evenementen. Hierdoor krijgen zij de benodigde praktijk ervaring en het evenement de vakkundigheid van onze organisatie. Wij zijn daarbij volledig zelfvoorzienend als het gaat om de materialen. Kijk eens bij onze foto's als u hier nieuwsgierig bent geworden.

Naast onze werkzaamheden als hulpverleners verzorgt onze afdeling de opleiding voor het burger AED project van de gemeente Schagen.

Tijdens de collecte week zijn wij zeer actief en opzoek naar vrijwilligers die ons willen helpen. Het geld dat wij hiermee ophalen word besteed aan materialen ten behoeve van onze werkzaamheden."|['info@rodekruisschagen.nl']|{'count': 505, 'social_sentence': '505 people like this.'}|505.0||341296749401948|0.0|https://www.facebook.com/rodekruisschagen/||Rode Kruis Schagen EHV team||1740 Schagen|rodekruisschagen|http://www.rodekruisschagen.nl||||||
29|Rode kruis Afdeling Hellendoorn-Nijverdal|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '185032388204011', 'name': 'First Aid Class'}]|||['hellendoornnijverdal@rodekruis.nl']|{'count': 272, 'social_sentence': '272 people like this.'}|272.0||162755137210475|0.0|https://www.facebook.com/RodeKruisHellendoorn/||Rode Kruis Hellendoorn-Nijverdal||Rembrandtplein 21, 7442 KH Nijverdal|RodeKruisHellendoorn|http://www.rodekruis.nl||||||
30|De Rode Kruis Studentendesks vormen een onderdeel van het Rode Kruis en zitten inmiddels in steeds meer studentensteden. Met de Studentendesks hoopt men te bereiken dat studenten zich bewust worden van en enthousiast worden voor het Rode Kruis.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]|De Rode Kruis Studentendesk Tilburg vormt de link tussen het Rode Kruis en studerend Tilburg. De studentendesk zet zich in om studenten in Tilburg (en omgeving) als vrijwilligers te betrekken bij activiteiten voor diegene die in Tilburg (en omstreken) hulp nodig hebben van het Rode Kruis. De activiteiten worden bedacht en gecoördineerd door het bestuur van de Studentendesk. Wij zijn voortdurend op zoek naar enthousiaste en maatschappelijk betrokken vrijwilligers. Vind jij het leuk om daadwerkelijk iets te betekenen voor anderen door je in te zetten als vrijwilliger of zelf deel te nemen aan de organisatie van nieuwe projecten? Laat het ons weten en word actief!||['studentendesktilburg@rodekruis.nl']|{'count': 611, 'social_sentence': '611 people like this.'}|611.0|"De Rode Kruis Studentendesk Tilburg is een jonge en dynamische organisatie waarbij naast vrijwilligerswerk ook vooral gezelligheid centraal staat. Wij organiseren activiteiten voor allerlei doelgroepen zoals bijvoorbeeld ouderen, blinden en slechtzienden, families die afhankelijk zijn van de voedselbank, etc. 

Onze grootste jaarlijkse terugkerende activiteiten zijn:

You Are Beautiful
Met dit project willen wij mensen met een verstandelijke beperking in het zonnetje zetten. Ze zullen onder andere door kappers en visagisten opgetut worden en diverse workshops krijgen.

Sinterklaas Bestaat
In samenwerking met stichting Sinterklaas Bestaat organiseren we een mooi Sinterklaasfeest voor kinderen van gezinnen die aangewezen zijn op de voedselbank. Aan deze kinderen zou dit feest normaal gesproken voorbij gaan. Voor deze kinderen zal een spetterende dag vol met cadeaus, Sinterklaasmuziek, pepernoten en natuurlijk Sinterklaas en zijn zwarte pieten worden georganiseerd.

3FM Serious Request
Voor 3FM Serious Request gaan we op een leuke en creatieve manier zo veel mogelijk geld ophalen!!"|278427178857123|0.0|https://www.facebook.com/studentendesktilburg/|Onze missie is om zoveel mogelijk Tilburgse studenten (en studenten in andere Brabantse steden, bij gebrek aan studentendesks in Breda, Den Bosch en Eindhoven) als vrijwilliger bij onze activiteiten te betrekken, zodat we de hulpbehoevenden in Tilburg (en omgeving) kunnen helpen.|Rode Kruis Studentendesk Tilburg|013 5425163|Leonard van Vechelstraat 2, 5014 HD Tilburg (gemeente)|studentendesktilburg|http://www.rodekruis.nl/wat-kunt-u-doen/jongeren/studentendesks/studentendesk-tilburg|2006|||||
31||Community|[{'id': '2612', 'name': 'Community'}]||||{'count': 293, 'social_sentence': '293 people like this.'}|293.0||1601408603510239|0.0|https://www.facebook.com/rodekruis.afdelinghaarlemmermeer/||Rode Kruis Afdeling Haarlemmermeer||Nieuweweg 33B, 2132 CK Hoofddorp|rodekruis.afdelinghaarlemmermeer|http://www.rodekruis.nl/afdeling/haarlemmermeer||||||
32|Het Rode Kruis Haaksbergen is actief is in de hulpverlening op evenementen en het sociaal welzijn van de bevolking van Haaksbergen en omgeving.|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '152880021441864', 'name': 'Community Organization'}]|||['info@rodekruishaaksbergen.nl']|{'count': 232, 'social_sentence': '232 people like this.'}|232.0||782597491751372|0.0|https://www.facebook.com/RKHaaksbergen/||Rode Kruis Haaksbergen||Adriaen Brouwerstraat 10, 7482 ZK Haaksbergen|RKHaaksbergen|http://www.rodekruis.nl/afdeling/haaksbergen||||||
33|EHBO begeleiding evenementen en andere zich voordoende gelegenheden in de regio Salland Midden|Cause|[{'id': '2606', 'name': 'Cause'}]|||['secretariaatsallandmidden@rodekruis.nl']|{'count': 36, 'social_sentence': '36 people like this.'}|36.0||379809079126638|0.0|https://www.facebook.com/rodekruissallandmidden/||Rode Kruis afdeling Salland Midden||Westdorplaan 132a, 8101 PP Raalte|rodekruissallandmidden|https://www.rodekruis.nl/salland-midden/||||||
34|Wil jij anderen helpen en jezelf ontwikkelen? Kom bij de Studentendesk!  Naast de bijzondere ervaringen en gezelligheid  is dit ook nog goed voor je CV!|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '147714868971098', 'name': 'Public & Government Service'}]|Studentendesk Nijmegen wil studenten op een leuke manier betrekken bij vrijwilligerswerk in de samenleving! Bij onze desk zijn studenten betrokken die zich naast hun studie graag willen inzetten voor mensen die wel wat extra hulp en aandacht kunnen gebruiken. |"Help mee om met een team van studenten activiteiten te bedenken en te organiseren!

Momenteel zijn er maar liefst 12 projecten, dus voor ieder wat wils! Voor onze projecten kunnen we vaak nog projectleiders, commissieleden en vrijwilligers gebruiken. Actief zijn voor de Studentendesk vindt plaats op vrijwillige basis waarbij we rekening houden met jouw voorkeuren. 

Onze projecten: 
- Help, ik ben student!
- TILVI (Taal Is Leuk Voor Iedereen)
- EHBO voor kinderen
- EHBO voor studenten
- Hero of Humanity
- Humanitair oorlogsrecht
- Red Hero Kids Run
- 3FM Serious Request
- Collecteweek
- Rode Kruis week
- Project in samenwerking met de HAN
"|['studentendesknijmegen@rodekruis.nl']|{'count': 1234, 'social_sentence': '1.2K people like this.'}|1234.0|"Het bestuur:
- Anna van Miert (Voorzitter)
- Petra Ibrahim (Secretaris)
- Romy Matse (Commissaris interne betrekkingen)
- Daan van Kuppeveld (Penningmeester)
"|199146423494228|0.0|https://www.facebook.com/rodekruisstudentendesknijmegen/|Met de Studentendesk willen we studenten betrekken bij het Rode Kruis en het vrijwilligerswerk dat de organisatie doet. Onze doelstelling is het organiseren van leuke en vooral zinvolle activiteiten.|Rode Kruis Studentendesk Nijmegen||Gelderselaan 14, 6523 LJ Nijmegen|rodekruisstudentendesknijmegen|http://www.studentendesknijmegen.nl||||||
35|Facebookpagina van het Rode Kruis afdeling Bommelerwaard|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}]||||{'count': 810, 'social_sentence': '810 people like this.'}|810.0||421845151182627|0.0|https://www.facebook.com/RodeKruisBommelerwaard/||Rode Kruis Bommelerwaard|0418-515843|Steenweg 83, 5301 HK Zaltbommel (gemeente)|RodeKruisBommelerwaard|http://www.rodekruisbommelerwaard.nl/||||||
36|Rode Kruis Eindhoven e.o.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||"Naast wat iedereen kent van het Rode Kruis zoals Rampenhulpverlening, Evenementenhulpverlening, SIGMA, Opvang en verzorging en Verwanteninformatie, is het Rode Kruis Eindhoven e.o. actief voor mensen met een handicap, ziekte of sociaal isolement. 

Het Rode Kruis Eindhoven e.o. organiseert onder meer:
- uitstapjes voor ouderen; 
- vakanties voor mensen die niet zelfstandig op vakantie kunnen; 
- vriendschappelijk huisbezoek; 
- telefooncirkels; 
- aanwezigheid bij dementerende thuis om de mantelzorger te ontlasten, 
- Taalcoaches voor inburgeraars; 
- Tracing (dit is het opsporen van vermiste personen over de hele wereld); 
- Blikopener (internet en e-mail lessen). 

Daarnaast brengt het Eindhovense Rode Kruis met het project Klus Contact jongeren in contact met ouderen. De jongere doet bij de oudere een klusje die de oudere zelf niet kan uitvoeren maar ook bezoek voor de gezelligheid behoort tot de mogelijkheden.
 
Het Rode Kruis Eindhoven e.o. is met bijna 400 vrijwilligers actief. Zonder hen kunnen wij niet de hulp bieden die we willen. 
"|['eindhoven@redcross.nl']|{'count': 421, 'social_sentence': '421 people like this.'}|421.0||182959271797060|0.0|https://www.facebook.com/rodekruiseindhoveneo/|Onze missie is het voorkomen en verzachten van menselijk lijden, het beschermen van levens en gezondheid en het waarborgen van respect voor ieder persoon. Hiervoor mobiliseren we de kracht van menslievendheid en solidariteit: we brengen vrijwillige hulpverleners samen met mensen in nood en geven zo invulling aan de verantwoordelijkheid van ons allemaal om anderen te helpen|Rode Kruis Eindhoven e.o.|040 - 2443311|Willem van Konijnenburglaan 6, 5613 DW Eindhoven|rodekruiseindhoveneo|www.rodekruis.nl/eindhoven|1909 |{'mon_1_open': '09:00', 'mon_1_close': '16:30', 'tue_1_open': '09:00', 'tue_1_close': '16:30', 'wed_1_open': '09:00', 'wed_1_close': '16:30', 'thu_1_open': '09:00', 'thu_1_close': '16:30', 'fri_1_open': '09:00', 'fri_1_close': '12:00'}||||
38||Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||||{'count': 406, 'social_sentence': '406 people like this.'}|406.0||409220462485431|0.0|https://www.facebook.com/districtdrenthe/||Rode Kruis Drenthe|0593371020|Bellweg 2, 9411 PV Beilen|districtdrenthe|http://www.rodekruis.nl/drenthe||||||
39|Welkom op de pagina van het Rode Kruis locatie Roermond. Hier vind je een kleine indruk van wie wij zijn en wat wij doen.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||Welkom op de pagina van het Rode Kruis locatie Roermond en omgeving. Hier vind je een kleine indruk van wie wij zijn en wat wij doen. Wij zullen hier regelmatig nieuwe foto's en berichten neerzetten voor een indruk wat wij zoal doen. Voor verdere info/vragen/opmerkingen kunnen jullie ons altijd een berichtje sturen!|['info.roermond@rodekruis.nl']|{'count': 293, 'social_sentence': '293 people like this.'}|293.0||113575668794061|0.0|https://www.facebook.com/RodeKruisRoermond/||Rode Kruis locatie Roermond|0475-318228 Dit nummer is alleen te bereiken op maandagavond tussen 19.30 en 21.30||RodeKruisRoermond|https://www.rodekruis.nl/roermond/||||||
40|Deze Facebook pagina brengt de activiteiten van Het Rode Kruis Maastricht, Meerssen, Mergelland onder de aandacht.|First Aid Class|[{'id': '185032388204011', 'name': 'First Aid Class'}, {'id': '181679458534697', 'name': 'Safety & First Aid Service'}, {'id': '163102447071743', 'name': 'Emergency Rescue Service'}]||"Het Rode Kruis is een organisatie met veel vrijwilligers. De afdeling Maastricht, Meerssen, Mergelland biedt hulp aan iedereen die in deze regio woont en verblijft. Zoals: Eerste Hulp bij Evenementen, cursussen op het gebied van EHBO, bijzondere vakanties en hulp bij rampen.
"|['communicatie@rodekruism3.nl']|{'count': 620, 'social_sentence': '620 people like this.'}|620.0||462735207133733|0.0|https://www.facebook.com/rodekruismaastricht/|"
Het Rode Kruis richt zich acute noodhulp. In binnen- en buitenland doen wij er alles aan om te voorkomen dat iemand in tijden van nood er alleen voor staat; dat iedereen zo goed mogelijk is voorbereid op een noodsituatie; en dat mensen bereid zijn elkaar in geval van nood te helpen."|Rode Kruis Maastricht, Meerssen, Mergelland|043-32151111|Cortenstraat 7, 6211 HT Maastricht|rodekruismaastricht|http://www.rodekruis.nl/maastricht|||||08/05/1870|
41|Wij helpen mensen in nood. Dat doen we om de hoek - en ver weg. Dat doen we vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}]|||['zuidoost-groningen@rodekruis.nl']|{'count': 204, 'social_sentence': '204 people like this.'}|204.0||1513163278997069|0.0|https://www.facebook.com/RodeKruisZOG/||Rode Kruis Zuidoost-Groningen|+31 (0)6810 007 69|Burgemeester van Sevenhovenstraat 47, 9503 CD Stadskanaal|RodeKruisZOG|http://www.rodekruis.nl/groningen||||||
42|Het Rode Kruis Haarlem helpt mensen in nood. Dat doen wij om de hoek en ver weg, vanuit ons hart en met de mouwen opgestroopt. Want wij zijn het Rode Kruis.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||"Het Rode Kruis Haarlem helpt mensen in nood. Dat doen wij om de hoek en ver weg, vanuit ons hart en met de mouwen opgestroopt. Er is veel te doen voor het Haarlemse Rode Kruis, van EHBO en hulp aan ouderen tot bijdragen aan nationale en internationale projecten.

Het Rode Kruis Haarlem, onderdeel van het Rode Kruis Nederland, is een vrijwilligersorganisatie met ruim 170 vrijwilligers, 250 collectanten en drie parttime beroepskrachten die zich actief inzetten voor de afdeling. Afdeling Haarlem is onderdeel van het District Kennemerland en werkt daarin samen met de afdelingen Beverwijk-Heemskerk, Haarlemmermeer, Velsen, Uitgeest en Zandvoort."|['info@rodekruishaarlem.nl']|{'count': 682, 'social_sentence': '682 people like this.'}|682.0||1021280501257840|0.0|https://www.facebook.com/rkhaarlem/|Onze missie is het voorkomen en verzachten van menselijk lijden waar dan ook, het beschermen van levens en gezondheid en het waarborgen van respect voor de mens. |Rode Kruis Haarlem e.o.|023-5411611|Vergierdeweg 52, 2025 TK Haarlem|rkhaarlem|http://www.rodekruis.nl/haarlem|1868|{'mon_1_open': '09:00', 'mon_1_close': '17:00', 'tue_1_open': '09:00', 'tue_1_close': '17:00', 'wed_1_open': '09:00', 'wed_1_close': '17:00', 'thu_1_open': '09:00', 'thu_1_close': '17:00', 'fri_1_open': '09:00', 'fri_1_close': '17:00'}||||
43|Rode Kruis Almelo is er om mensen te helpen. U hebt onze EHBO-ers vast wel eens gezien bij een evenement/festival. Zij helpen bij ongelukken en calamiteiten. Ook organiseren wij EHBO-cursussen. Vragen? Neem gerust contact met ons op!|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '152880021441864', 'name': 'Community Organization'}]|||['almelo@rodekruis.nl']|{'count': 222, 'social_sentence': '222 people like this.'}|222.0||299801923504570|0.0|https://www.facebook.com/rodekruisalmelo/||Rode Kruis Afdeling Almelo|0546-815973|Hofkampstraat 102, 7607 NJ Almelo|rodekruisalmelo|http://www.rodekruis.nl/twente||{'thu_1_open': '09:00', 'thu_1_close': '12:00'}||||
44|Opgericht op 21 oktober 1938, en nog steeds actief: Rode Kruisafdeling Kampen-IJsselmuiden. Actief in Eerste Hulpverlening en Sociale Hulpverlening.|First Aid Class|[{'id': '185032388204011', 'name': 'First Aid Class'}]|||['rodekruiskampen@gmail.com']|{'count': 332, 'social_sentence': '332 people like this.'}|332.0||144070685697736|0.0|https://www.facebook.com/rodekruiskampenijsselmuiden/||Rode Kruis Kampen-IJsselmuiden|0388538178 |wilhelminalaan 20, Kampen|rodekruiskampenijsselmuiden|http://www.rodekruis.nl/kampen|1938|{'mon_1_open': '09:00', 'mon_1_close': '17:00', 'mon_2_open': '19:00', 'mon_2_close': '19:00', 'tue_1_open': '09:00', 'tue_1_close': '17:00', 'tue_2_open': '19:00', 'tue_2_close': '19:00', 'wed_1_open': '09:00', 'wed_1_close': '17:00', 'wed_2_open': '19:00', 'wed_2_close': '19:00', 'thu_1_open': '09:00', 'thu_1_close': '17:00', 'thu_2_open': '19:00', 'thu_2_close': '20:00', 'fri_1_open': '09:00', 'fri_1_close': '17:00', 'fri_2_open': '19:00', 'fri_2_close': '19:00', 'sat_1_open': '11:00', 'sat_1_close': '17:00'}||||
45|Het Rode Kruis Kennemerland biedt noodhulp, evenementenhulp, voorlichting en begeleiding voor zelfredzaamheid en EHBO trainingen.|Nonprofit Organization|[{'id': '2603', 'name': 'Nonprofit Organization'}]||||{'count': 97, 'social_sentence': '97 people like this.'}|97.0||1976029439193376|0.0|https://www.facebook.com/RodeKruisKennemerland/||Rode Kruis District Kennemerland|+31235411611|Vergierdeweg 52, 2025 TK Haarlem|RodeKruisKennemerland|https://www.rodekruis.nl/haarlem/onze-activiteiten/district-kennemerland/||{'mon_1_open': '09:00', 'mon_1_close': '16:00', 'tue_1_open': '09:00', 'tue_1_close': '16:00', 'wed_1_open': '09:00', 'wed_1_close': '16:00', 'thu_1_open': '09:00', 'thu_1_close': '16:00'}||||
46|Rode Kruis afdeling Lelystad|Charity Organization|[{'id': '226326230802065', 'name': 'Charity Organization'}, {'id': '2603', 'name': 'Nonprofit Organization'}, {'id': '181679458534697', 'name': 'Safety & First Aid Service'}]|Het Nederlandse Rode Kruis is de hulporganisatie op het gebied van noodhulp, zelfredzaamheid en EHBO / Eerste hulp. Kijk voor meer informatie op www.rodekruis.nl/lelystad||['info.lelystad@rodekruis.nl']|{'count': 464, 'social_sentence': '464 people like this.'}|464.0|Het Nederlandse Rode Kruis helpt mensen in nood, wie ze ook zijn en waar ze ook zijn. Al onze hulp in Lelystad wordt door vrijwilligers verleend. Zij zetten zich kosteloos en onvermoeibaar in om anderen te helpen. |208535842602519|0.0|https://www.facebook.com/RodeKruisLelystad/|Onze missie is het voorkomen en verzachten van menselijk lijden waar dan ook, het beschermen van levens en gezondheid en het waarborgen van respect voor ieder persoon, in het bijzonder tijdens gewapende conflicten en andere noodsituaties. Hiervoor mobiliseren we de kracht van menslievendheid en solidariteit: we brengen vrijwillige hulpverleners en donoren samen met mensen in nood en geven zo invulling aan de verantwoordelijkheid van ons allemaal om anderen te helpen.|Rode Kruis afdeling Lelystad|0320 248848|Wigstraat 15, 8223EE Lelystad|RodeKruisLelystad|https://www.rodekruis.nl/lelystad/||||||
47|Wie helpt wie in een wereld die nooit tot rust komt?  Dat zijn de leden & vrijwilligers van het Rode Kruis|Safety & First Aid Service|[{'id': '181679458534697', 'name': 'Safety & First Aid Service'}]||"Het Nederlandse Rode Kruis afdeling Noordoostpolder is één van de weinige Rode Kruis afdelingen die net zo oud is als de gemeente waar in het actief is. De start van de afdeling ligt officieus bij de eindjaren van van de 2e wereldoorlog in november 1944 in Vollenhove was in de oorlogsjaren een noodziekenhuis geopend op 15 maart 1943 en was in eerste plaats bedoelt voor de verzorging van het personeel van de directie Wieringermeer (noordoostpolderwerken).  Verzetsstrijders werden soms ondergebracht in de difeterie-barak van het ziekenhuis de bezetter was namelijk erg bang voor besmettelijke ziektes.

Bron: Kruispost jubileumboek 50 jaar Rode kruis Noordoostpolder, auteur H.W. Hoekstra

Het Rode kruis bestaat uit verschillende taakvelden waaronder het welzijnswerk en noodhulp gecombineerd met evenementen hulp maar ook de jeugd is een groep waar vanaf het begin al aandacht voor is geweest. Alle taakvelden hebben verschillende namen gehad zo viel het welzijnswerk onder de naam Welfare en de huidige noodhulp en evenementenhulp had de naam colonne. 

Tot slot één naam die in het jubileumboek terug te vinden is dr. Jansen en is in de begin jaren van de Rode Kruis afdeling Noordoostpolder een bestuurder geweest. Het streekziekenhuis in Emmeloord is naar hem vernoemd en tegenwoordig heet het dokter Jansencentrum.

"|['hulpverlening@rodekruisnop.nl']|{'count': 454, 'social_sentence': '454 people like this.'}|454.0||402183293281953|0.0|https://www.facebook.com/rodekruisnoordoostpolder/||Rode Kruis Noordoostpolder|+31652185759|Oud Espelerweg 4, 8303 HW Emmeloord|rodekruisnoordoostpolder|http://www.rodekruisnop.nl|||||04/11/1946|
